File Name,Project Title,Business Purpose,Skills Demonstrated,Detailed Notes
K-Mean Clustering.py,Customer Segmentation Analysis,Identifies distinct customer groups based on purchase behavior to enable targeted marketing strategies,Machine Learning | Customer Analytics | K-Means Clustering | Data Standardization,"Uses wine customer offer data to perform unsupervised learning clustering. Applies the elbow method to determine optimal number of customer segments. Scales data to ensure fair comparison across variables. Business value: Enables personalized marketing campaigns and customer targeting."

Linear regression.py,Revenue-Distance Relationship Model,Analyzes how customer distance from physical stores impacts online revenue,Predictive Analytics | Linear Regression | Statistical Modeling,"Builds a linear model showing the relationship between online revenue (YTD) and distance from nearest store. Provides equation to predict behavior. Business value: Informs store location strategy and online/offline channel allocation."

NHL API teams.py,Live Sports Data Integration,Demonstrates ability to pull real-time data from external APIs for analysis,API Integration | Data Extraction | REST APIs,"Connects to NHL's official API to retrieve current team information. Shows capability to integrate external data sources into business intelligence workflows. Business value: Foundation for automated data pipelines and live reporting."

Chart values.py,E-Commerce Correlation Analysis with Visualization,Examines relationships between customer website behavior and purchase outcomes,Exploratory Data Analysis | Correlation Analysis | Data Visualization,"Analyzes key e-commerce metrics: time on site, pages visited, items in cart, and basket value. Creates visual pairplots to identify patterns. Calculates multiple correlations to understand what drives conversions. Business value: Identifies which website behaviors lead to higher sales."

ID outliers.py,Automated Data Quality Detection,Identifies unusual data points that could indicate issues or opportunities,Data Quality | Statistical Analysis | Outlier Detection | Z-Score & IQR Methods,"Uses two statistical methods (Z-Score and IQR) to flag outliers across all numeric fields. Outputs results to separate Excel sheets for review. Business value: Catches data errors, fraud, or exceptional cases that need investigation."

Unique User ID.py,User Count Analysis,Calculates number of distinct users in dataset for audience sizing,Data Aggregation | User Analytics | Distinct Count Operations,"Quick analysis to count unique users in a dataset. Foundation skill for calculating market size, active users, or customer base. Business value: Answers fundamental 'how many customers' questions."

Dump JSON.py,API Data Extraction & Storage,Saves API data locally for analysis and archiving,API Integration | JSON Data Handling | Data Extraction,"Pulls NHL teams data from API and saves as JSON file for local analysis. Demonstrates data collection and storage for offline processing. Business value: Creates data archives and enables batch processing workflows."

Reading Access.py,Legacy Database Integration,Connects to Microsoft Access databases to extract business data,Database Connectivity | SQL Queries | Legacy System Integration,"Uses ODBC to connect to Access databases and query tables. Important for organizations with existing Access-based systems. Business value: Integrates legacy data sources into modern analytics workflows."

sklearncode.py,Model Performance Evaluation,Calculates AUC score to measure predictive model accuracy,Machine Learning Evaluation | ROC-AUC | Model Validation,"Computes Area Under the Curve (AUC) metric to assess classification model performance. Shows understanding of model quality metrics. Business value: Validates that predictive models are reliable before deployment."

Change the correlation.py,Comprehensive Variable Relationship Analysis,Automatically calculates correlations between all variables in a dataset,Statistical Analysis | Correlation Matrix | Automated Analysis,"Systematically tests relationships between all pairs of columns in dataset. Produces complete correlation report. Business value: Quickly identifies which factors are related without manual testing."

Mode.py,Central Tendency Statistical Analysis,Finds the most common value in each dataset column,Descriptive Statistics | Data Summarization,"Calculates mode (most frequent value) across all columns in Excel data. Part of standard statistical profiling. Business value: Identifies typical customer profiles or most common scenarios."

